"ID" "N2" "ICC" "method" "parameter" "est" "se" "ci_l" "ci_u"
4 15 0.1 "MI-R2" "gamma10" 0.179711527452239 0.0921298988968103 -0.00352952615837057 0.362952581062849
4 15 0.1 "MI-R2" "gamma01" 0.270270158291443 0.244261942152639 -0.209831885050503 0.75037220163339
4 15 0.1 "MI-a2" "gamma10" 0.179711527452239 0.0921298988968103 -0.00586996894130545 0.365293023845784
4 15 0.1 "MI-a2" "gamma01" 0.270270158291443 0.244261942152639 -0.277808040327991 0.818348356910877
2 30 0.1 "MI-R1" "gamma10" 0.234643302399971 0.0717353875886012 0.0921073818041485 0.377179222995793
2 30 0.1 "MI-R1" "gamma01" 0.0221319984999803 0.164608615672206 -0.301468885639579 0.34573288263954
2 30 0.1 "MI-a1" "gamma10" 0.234643302399971 0.0717353875886012 0.0912335414032216 0.37805306339672
2 30 0.1 "MI-a1" "gamma01" 0.0221319984999803 0.164608615672206 -0.320085799904902 0.364349796904863
2 30 0.1 "MI-R2" "gamma10" 0.251513762103186 0.0761263336410209 0.0983795074056159 0.404648016800756
2 30 0.1 "MI-R2" "gamma01" 0.0857340021366624 0.183174230889677 -0.275145462004294 0.446613466277619
2 30 0.1 "MI-a2" "gamma10" 0.251513762103186 0.0761263336410209 0.0972275795523273 0.405799944654045
2 30 0.1 "MI-a2" "gamma01" 0.0857340021366624 0.183174230889677 -0.297222028285252 0.468690032558577
3 60 0.1 "MI-R1" "gamma10" 0.191548932724724 0.0536671296192869 0.0838605309479258 0.299237334501523
3 60 0.1 "MI-R1" "gamma01" 0.520231438503055 0.109229455334586 0.305723782839975 0.734739094166134
3 60 0.1 "MI-a1" "gamma10" 0.191548932724724 0.0536671296192869 0.0834757507793073 0.299622114670141
3 60 0.1 "MI-a1" "gamma01" 0.520231438503055 0.109229455334586 0.300319235602149 0.74014364140396
3 60 0.1 "MI-R2" "gamma10" 0.199332434554861 0.0480018325040186 0.104207617413032 0.294457251696689
3 60 0.1 "MI-R2" "gamma01" 0.537051127186908 0.118977270039417 0.302960785861388 0.771141468512427
3 60 0.1 "MI-a2" "gamma10" 0.199332434554861 0.0480018325040186 0.103933125927048 0.294731743182673
3 60 0.1 "MI-a2" "gamma01" 0.537051127186908 0.118977270039417 0.296701385046517 0.777400869327299
4 15 0.1 "MI-R1" "gamma10" 0.142764436005931 0.11061178730969 -0.0763424369095576 0.36187130892142
4 15 0.1 "MI-R1" "gamma01" 0.15136423213405 0.242462015926334 -0.324391854891296 0.627120319159395
4 15 0.1 "MI-a1" "gamma10" 0.142764436005931 0.11061178730969 -0.0789379399361129 0.364466811947976
4 15 0.1 "MI-a1" "gamma01" 0.15136423213405 0.242462015926334 -0.387221094863954 0.689949559132053
4 15 0.1 "MI-R2" "gamma10" 0.202771636858259 0.117495837984932 -0.0318200201745615 0.437363293891081
4 15 0.1 "MI-R2" "gamma01" 0.152183876282362 0.24324941464118 -0.324915351122961 0.629283103687686
4 15 0.1 "MI-a2" "gamma10" 0.202771636858259 0.117495837984932 -0.0350216538497828 0.440564927566302
4 15 0.1 "MI-a2" "gamma01" 0.152183876282362 0.24324941464118 -0.386443179618546 0.690810932183271
3 60 0.1 "MI-R1" "gamma10" 0.15510767332567 0.0569817912731358 0.0397725033000035 0.270442843351336
3 60 0.1 "MI-R1" "gamma01" 0.366202196943266 0.132780750242343 0.105528047554375 0.626876346332156
3 60 0.1 "MI-a1" "gamma10" 0.15510767332567 0.0569817912731358 0.0393005978818093 0.270914748769531
3 60 0.1 "MI-a1" "gamma01" 0.366202196943266 0.132780750242343 0.0990406283389509 0.633363765547581
3 60 0.1 "MI-R2" "gamma10" 0.141491547533002 0.053920023593541 0.0332082616455394 0.249774833420464
3 60 0.1 "MI-R2" "gamma01" 0.396910948758891 0.148402457652585 0.104387080966666 0.689434816551116
3 60 0.1 "MI-a2" "gamma10" 0.141491547533002 0.053920023593541 0.0328163508086837 0.250166744257319
3 60 0.1 "MI-a2" "gamma01" 0.396910948758891 0.148402457652585 0.0961821121048233 0.697639785412958
4 15 0.1 "MI-R1" "gamma10" 0.319377239344411 0.0817814617452373 0.158090862235592 0.48066361645323
4 15 0.1 "MI-R1" "gamma01" -0.0720217881814794 0.305686938934383 -0.674017614975668 0.52997403861271
4 15 0.1 "MI-a1" "gamma10" 0.319377239344411 0.0817814617452373 0.156348998672584 0.482405480016238
4 15 0.1 "MI-a1" "gamma01" -0.0720217881814794 0.305686938934383 -0.764557567789497 0.620513991426538
4 15 0.1 "MI-R2" "gamma10" 0.326787897330884 0.0798944565502079 0.169656003633109 0.48391979102866
4 15 0.1 "MI-R2" "gamma01" -0.0160143516566088 0.325058851159634 -0.65535664109778 0.623327937784562
4 15 0.1 "MI-a2" "gamma10" 0.326787897330884 0.0798944565502079 0.168074143192946 0.485501651468822
4 15 0.1 "MI-a2" "gamma01" -0.0160143516566088 0.325058851159634 -0.747942108934531 0.715913405621313
2 30 0.1 "MI-R1" "gamma10" 0.172130141490491 0.0676093911943529 0.0384697069988768 0.305790575982104
2 30 0.1 "MI-R1" "gamma01" 0.509816988041131 0.265166261242013 -0.0143527802126618 1.03398675629492
2 30 0.1 "MI-a1" "gamma10" 0.172130141490491 0.0676093911943529 0.0377257037001593 0.306534579280822
2 30 0.1 "MI-a1" "gamma01" 0.509816988041131 0.265166261242013 -0.0490510316530197 1.06868500773528
2 30 0.1 "MI-R2" "gamma10" 0.202748542126895 0.0710095951527725 0.0620056586207869 0.343491425633003
2 30 0.1 "MI-R2" "gamma01" 0.503498572554296 0.272794207375086 -0.0364431070660682 1.04344025217466
2 30 0.1 "MI-a2" "gamma10" 0.202748542126895 0.0710095951527725 0.0611815691171766 0.344315515136614
2 30 0.1 "MI-a2" "gamma01" 0.503498572554296 0.272794207375086 -0.0731779377369054 1.0801750828455
