"ID" "gamma01" "N2" "ICC" "beta" "method" "parameter" "est" "se" "cov" "bias"
"129" 9 0 30 0.3 0 "LD" "gamma10" 0.0580285560879405 0.171935987941519 0.8 0.24197144391206
"130" 10 0.3 30 0.3 0 "LD" "gamma10" 0.306067769811065 0.176805953470059 1 -0.00606776981106521
"131" 11 0 60 0.3 0 "LD" "gamma10" 0.008382041152003 0.137014345088243 0.5 0.291617958847997
"132" 12 0.3 60 0.3 0 "LD" "gamma10" 0.322567887603197 0.129828266095349 0.9 -0.0225678876031969
"133" 13 0 15 0.1 0.3 "LD" "gamma10" 0.00801995172393588 0.337982944356599 0.8 0.291980048276064
"134" 14 0.3 15 0.1 0.3 "LD" "gamma10" 0.328850733143946 0.255309745226398 1 -0.0288507331439464
"135" 15 0 30 0.1 0.3 "LD" "gamma10" 0.0726742295018114 0.176331350629218 0.8 0.227325770498189
"136" 16 0.3 30 0.1 0.3 "LD" "gamma10" 0.422309770890754 0.172095720230225 0.9 -0.122309770890754
"137" 17 0 60 0.1 0.3 "LD" "gamma10" 0.077929700678869 0.12578232114668 0.6 0.222070299321131
"138" 18 0.3 60 0.1 0.3 "LD" "gamma10" 0.290004370891083 0.125824196890859 1 0.00999562910891719
"139" 19 0 15 0.3 0.3 "LD" "gamma10" 0.0105297098109148 0.25385731629267 0.7 0.289470290189085
"140" 20 0.3 15 0.3 0.3 "LD" "gamma10" 0.338464307098388 0.204339863280019 0.9 -0.0384643070983877
"141" 21 0 30 0.3 0.3 "LD" "gamma10" -0.0437419370919464 0.189795726023367 0.7 0.343741937091946
"142" 22 0.3 30 0.3 0.3 "LD" "gamma10" 0.375137099484589 0.194473404545147 0.9 -0.0751370994845889
"143" 23 0 60 0.3 0.3 "LD" "gamma10" 0.0138297745334479 0.118172026872416 0.4 0.286170225466552
"144" 24 0.3 60 0.3 0.3 "LD" "gamma10" 0.29719534472693 0.116367916268386 1 0.00280465527307038
"145" 1 0 15 0.1 0 "MI-a" "gamma10" 0.00468644224521258 0.275198965801995 0.8 0.295313557754787
"146" 2 0.3 15 0.1 0 "MI-a" "gamma10" 0.217130154106081 0.265721726931885 1 0.0828698458939189
"147" 3 0 30 0.1 0 "MI-a" "gamma10" 0.00227314238606765 0.19576987378781 0.5 0.297726857613932
"148" 4 0.3 30 0.1 0 "MI-a" "gamma10" 0.203177596411008 0.222023878099687 0.9 0.0968224035889921
"149" 5 0 60 0.1 0 "MI-a" "gamma10" 0.027102767720078 0.125767012695499 0.4 0.272897232279922
"150" 6 0.3 60 0.1 0 "MI-a" "gamma10" 0.204112350784254 0.13772478096958 0.9 0.0958876492157464
"151" 7 0 15 0.3 0 "MI-a" "gamma10" -0.0198494019214572 0.266928146809604 0.8 0.319849401921457
"152" 8 0.3 15 0.3 0 "MI-a" "gamma10" 0.330857558376923 0.289355241783465 1 -0.0308575583769231
"153" 9 0 30 0.3 0 "MI-a" "gamma10" 0.0333536824414235 0.17869185185836 0.8 0.266646317558576
"154" 10 0.3 30 0.3 0 "MI-a" "gamma10" 0.320015999993581 0.190811536411997 1 -0.0200159999935815
"155" 11 0 60 0.3 0 "MI-a" "gamma10" -0.0208535162936197 0.140436769226547 0.4 0.32085351629362
"156" 12 0.3 60 0.3 0 "MI-a" "gamma10" 0.309395188344406 0.134459631893805 0.9 -0.0093951883444064
"157" 13 0 15 0.1 0.3 "MI-a" "gamma10" -0.00343488156714915 0.351801585412273 0.9 0.303434881567149
"158" 14 0.3 15 0.1 0.3 "MI-a" "gamma10" 0.278885829079272 0.271537296937317 1 0.0211141709207285
"159" 15 0 30 0.1 0.3 "MI-a" "gamma10" 0.0355126632728978 0.185953517025829 0.7 0.264487336727102
"160" 16 0.3 30 0.1 0.3 "MI-a" "gamma10" 0.376423011897589 0.182274253440093 0.9 -0.0764230118975893
"161" 17 0 60 0.1 0.3 "MI-a" "gamma10" 0.0523417101153972 0.130720325646606 0.6 0.247658289884603
"162" 18 0.3 60 0.1 0.3 "MI-a" "gamma10" 0.26197573813187 0.138019437148076 1 0.0380242618681301
"163" 19 0 15 0.3 0.3 "MI-a" "gamma10" -0.0591521552069121 0.280119056914218 0.7 0.359152155206912
"164" 20 0.3 15 0.3 0.3 "MI-a" "gamma10" 0.33891180188873 0.213806865317698 0.9 -0.0389118018887299
"165" 21 0 30 0.3 0.3 "MI-a" "gamma10" -0.0370922240170055 0.198929225699168 0.7 0.337092224017005
"166" 22 0.3 30 0.3 0.3 "MI-a" "gamma10" 0.358708118894981 0.209327305558626 0.9 -0.0587081188949813
"167" 23 0 60 0.3 0.3 "MI-a" "gamma10" -0.0337273985276795 0.124452392789083 0.5 0.333727398527679
"168" 24 0.3 60 0.3 0.3 "MI-a" "gamma10" 0.316676146418101 0.124255249049276 1 -0.016676146418101
"169" 1 0 15 0.1 0 "MI-R" "gamma10" 0.00468644224521258 0.275198965801995 0.8 0.295313557754787
