"ID" "method" "parameter" "gamma01" "ICC" "beta" "N2" "R" "estimate" "stand_err" "bias" "rel_bias" "coverage" "empSE" "mcse_bias" "mcse_cov" "mcse_empSE"
"19" 2 "MI-R" "gamma01" 0.4 0.1 0 15 1000 0.324872365491455 0.291698541450085 -0.0751276345085451 -0.187819086271363 0.965 0.238948647447754 0.00755621969751482 0.00581162627841812 0.0053457277206587
"20" 2 "MI-R" "gamma10" 0.4 0.1 0 15 1000 0.199237088980266 0.100814043612445 -0.100762911019734 -0.335876370065782 0.831 0.100819623742061 0.00318819643866101 0.0118506961820815 0.00225552336529613
"21" 3 "bayes" "gamma01" 0 0.1 0 30 1000 0.00850556162584159 0.22048350514934 0.00850556162584159 NA 0.963 0.199160109547074 0.006297995652174 0.00596917079668525 0.00445558378265357
"22" 3 "bayes" "gamma10" 0 0.1 0 30 1000 0.192129088574202 0.0721332154289118 -0.107870911425798 -0.359569704752661 0.684 0.0718454114832831 0.00227195139719191 0.0147018366199601 0.00160731609854496
"23" 3 "CD" "gamma01" 0 0.1 0 30 1000 0.00311423383751734 0.184185356277053 0.00311423383751734 NA 0.945 0.18843373757379 0.00595879798751626 0.00720936890441875 0.00421561479930864
"24" 3 "CD" "gamma10" 0 0.1 0 30 1000 0.195357512023253 0.0600504824981116 -0.104642487976747 -0.348808293255823 0.589 0.0588788737034854 0.00186191346968407 0.0155588881350821 0.00131723042034253
"25" 3 "LD" "gamma01" 0 0.1 0 30 1000 0.042370555762271 0.184777009898805 0.042370555762271 NA 0.939 0.185529248416473 0.00586694997575244 0.00756828910652864 0.00415063594980077
"26" 3 "LD" "gamma10" 0 0.1 0 30 1000 0.19379317807461 0.0736734608660174 -0.10620682192539 -0.354022739751301 0.695 0.0734254527393734 0.0023219166888547 0.0145593612497252 0.00164266457376205
"27" 3 "MI-a" "gamma01" 0 0.1 0 30 1000 0.0144788381000687 0.194418719445894 0.0144788381000687 NA 0.976 0.173199890376255 0.00547706144080445 0.00483983470792134 0.00387480517294763
"28" 3 "MI-a" "gamma10" 0 0.1 0 30 1000 0.192705529997913 0.0729216260512066 -0.107294470002087 -0.357648233340291 0.69 0.0729050522819529 0.00230546018144627 0.0146253205093085 0.00163102224315759
"29" 3 "MI-R" "gamma01" 0 0.1 0 30 1000 0.0144788381000687 0.194418719445894 0.0144788381000687 NA 0.962 0.173199890376255 0.00547706144080445 0.00604615580348373 0.00387480517294763
"30" 3 "MI-R" "gamma10" 0 0.1 0 30 1000 0.192705529997913 0.0729216260512066 -0.107294470002087 -0.357648233340291 0.685 0.0729050522819529 0.00230546018144627 0.0146892818068141 0.00163102224315759
"31" 4 "bayes" "gamma01" 0.4 0.1 0 30 1000 0.3907410460006 0.220604911007084 -0.00925895399940024 -0.0231473849985006 0.97 0.203832314474363 0.00644574374482694 0.00539444158370447 0.00456010973692526
"32" 4 "bayes" "gamma10" 0.4 0.1 0 30 1000 0.197104273963629 0.0705889354520382 -0.102895726036371 -0.342985753454571 0.704 0.0653735975711346 0.00206729467164037 0.0144355117678592 0.00146252952869973
